# $Id: LIM-Rules.csv,v 1.28 2008/02/29 22:59:45 gg2712 Exp $,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,LIM Error Text,LIM Error,Exception Type
LIM_ERR,BIMX Exception,LIM-SystemFailure-10441,Billing address update was successful but BOSS notes posting failed. BIMX error: <%TAG=MSG%s>,LIM,1,0,Billing address update was successful but BOSS notes posting failed,ERR_LIM_BIMX_EXCEPTION,System Failure
ORACLE_ERR,Zip:Exhausted Resultset,LIM-InvalidData-00434,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Invalid Postal Code.,Oracle DB,1,0,Invalid Postal Code.,ERR_LIM_INVALID_POSTAL_CODE,Invalid Data
ORACLE_ERR,Zip:DBConnection failed,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,Zip:SQLException,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,null,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
RC_ERR,null,LIM-SystemFailure-02215,Resource Connector Exception. Description: <%TAG=MSG%s>,Resource Connector,1,0,Resource Connector Exception,ERR_LIM_RESOURCE_CONNECTOR_EXCEPTION,System Failure
SVC_ERR,null,LIM-ObjectNotFound-00002,Service not found.,LIM,1,0,Service not found.,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
TIME_OUT,Time out,LIM-SystemFailure-00001,<%TAG=SYSTEM%s>Timed out.,LIM,1,0,Time Out,ERR_LIM_TIMEOUT,System Failure
#Default, , , , , , , , , 
null,null,LIM-SystemFailure-00651,Host System Exception Not Defined in LIM Rules File.,LIM,1,0,Unexpected error code - Internal error.,ERR_LIM_ASONSERVICE,System Failure
